date,perc
Jan-2004,18
Feb-2004,18
Mar-2004,24
Apr-2004,24
May-2004,26
Jun-2004,24
Jul-2004,23
Aug-2004,23
Sep-2004,22
Oct-2004,24
Nov-2004,23
Dec-2004,22
Jan-2005,22
Feb-2005,23
Mar-2005,23
Apr-2005,23
May-2005,25
Jun-2005,24
Jul-2005,23
Aug-2005,24
Sep-2005,23
Oct-2005,24
Nov-2005,23
Dec-2005,22
Jan-2006,23
Feb-2006,23
Mar-2006,25
Apr-2006,26
May-2006,27
Jun-2006,25
Jul-2006,23
Aug-2006,23
Sep-2006,22
Oct-2006,23
Nov-2006,23
Dec-2006,22
Jan-2007,23
Feb-2007,22
Mar-2007,24
Apr-2007,26
May-2007,25
Jun-2007,26
Jul-2007,25
Aug-2007,26
Sep-2007,27
Oct-2007,26
Nov-2007,27
Dec-2007,25
Jan-2008,24
Feb-2008,25
Mar-2008,26
Apr-2008,27
May-2008,26
Jun-2008,27
Jul-2008,25
Aug-2008,24
Sep-2008,25
Oct-2008,26
Nov-2008,25
Dec-2008,25
Jan-2009,24
Feb-2009,25
Mar-2009,26
Apr-2009,26
May-2009,27
Jun-2009,26
Jul-2009,26
Aug-2009,26
Sep-2009,25
Oct-2009,24
Nov-2009,26
Dec-2009,25
Jan-2010,26
Feb-2010,26
Mar-2010,26
Apr-2010,27
May-2010,28
Jun-2010,26
Jul-2010,25
Aug-2010,26
Sep-2010,25
Oct-2010,24
Nov-2010,25
Dec-2010,24
Jan-2011,25
Feb-2011,27
Mar-2011,26
Apr-2011,25
May-2011,26
Jun-2011,24
Jul-2011,25
Aug-2011,24
Sep-2011,24
Oct-2011,25
Nov-2011,24
Dec-2011,26
Jan-2012,26
Feb-2012,25
Mar-2012,26
Apr-2012,27
May-2012,26
Jun-2012,27
Jul-2012,26
Aug-2012,27
Sep-2012,26
Oct-2012,25
Nov-2012,27
Dec-2012,26
Jan-2013,26
Feb-2013,27
Mar-2013,28
Apr-2013,29
May-2013,29
Jun-2013,28
Jul-2013,28
Aug-2013,25
Sep-2013,24
Oct-2013,25
Nov-2013,24
Dec-2013,24
Jan-2014,25
Feb-2014,26
Mar-2014,27
Apr-2014,28
May-2014,28
Jun-2014,27
Jul-2014,26
Aug-2014,25
Sep-2014,24
Oct-2014,24
Nov-2014,25
Dec-2014,24
Jan-2015,24
Feb-2015,25
Mar-2015,26
Apr-2015,27
May-2015,26
Jun-2015,25
Jul-2015,24
Aug-2015,25
Sep-2015,24
Oct-2015,24
Nov-2015,25
Dec-2015,25
Jan-2016,24
Feb-2016,25
Mar-2016,26
Apr-2016,27
May-2016,28
Jun-2016,26
Jul-2016,25
Aug-2016,25
Sep-2016,24
Oct-2016,25
Nov-2016,25
Dec-2016,24
Jan-2017,25
Feb-2017,26
Mar-2017,26
Apr-2017,26
May-2017,24
Jun-2017,25
Jul-2017,24
Aug-2017,22
Sep-2017,21
Oct-2017,22
Nov-2017,23
Dec-2017,22
Jan-2018,23
Feb-2018,25
Mar-2018,28
Apr-2018,27
May-2018,25
Jun-2018,28
Jul-2018,25
Aug-2018,24
Sep-2018,25
Oct-2018,24
Nov-2018,23
Dec-2018,21
