date,perc
Jan-2004,24961
Feb-2004,22654
Mar-2004,25524
Apr-2004,26146
May-2004,24921
Jun-2004,23654
Jul-2004,22356
Aug-2004,24542
Sep-2004,26194
Oct-2004,20613
Nov-2004,18542
Dec-2004,20842
Jan-2005,19676
Feb-2005,16184
Mar-2005,19209
Apr-2005,22528
May-2005,21194
Jun-2005,23464
Jul-2005,22442
Aug-2005,21621
Sep-2005,20821
Oct-2005,23464
Nov-2005,20642
Dec-2005,18962
Jan-2006,19254
Feb-2006,18624
Mar-2006,17645
Apr-2006,18553
May-2006,20735
Jun-2006,21823
Jul-2006,24535
Aug-2006,23233
Sep-2006,25164
Oct-2006,20546
Nov-2006,23614
Dec-2006,22543
Jan-2007,21624
Feb-2007,22564
Mar-2007,20161
Apr-2007,21514
May-2007,20664
Jun-2007,23136
Jul-2007,25764
Aug-2007,24673
Sep-2007,23453
Oct-2007,22914
Nov-2007,21812
Dec-2007,19675
Jan-2008,19677
Feb-2008,20456
Mar-2008,21574
Apr-2008,20616
May-2008,22235
Jun-2008,25314
Jul-2008,27925
Aug-2008,26824
Sep-2008,22655
Oct-2008,18854
Nov-2008,19726
Dec-2008,15635
Jan-2009,20434
Feb-2009,21346
Mar-2009,23495
Apr-2009,20731
May-2009,23719
Jun-2009,20521
Jul-2009,24653
Aug-2009,21721
Sep-2009,20532
Oct-2009,21443
Nov-2009,16461
Dec-2009,19256
Jan-2010,18464
Feb-2010,20241
Mar-2010,23164
Apr-2010,24796
May-2010,24953
Jun-2010,23349
Jul-2010,22563
Aug-2010,20593
Sep-2010,21664
Oct-2010,26114
Nov-2010,23761
Dec-2010,23133
Jan-2011,20419
Feb-2011,21788
Mar-2011,23655
Apr-2011,19471
May-2011,18799
Jun-2011,20208
Jul-2011,20004
Aug-2011,21461
Sep-2011,22434
Oct-2011,24613
Nov-2011,23406
Dec-2011,21531
Jan-2012,20644
Feb-2012,14906
Mar-2012,18041
Apr-2012,18976
May-2012,20240
Jun-2012,24761
Jul-2012,26930
Aug-2012,28224
Sep-2012,24534
Oct-2012,25624
Nov-2012,20204
Dec-2012,21434
Jan-2013,20373
Feb-2013,21445
Mar-2013,26619
Apr-2013,23564
May-2013,22466
Jun-2013,21488
Jul-2013,20244
Aug-2013,19826
Sep-2013,16524
Oct-2013,19822
Nov-2013,20193
Dec-2013,21601
Jan-2014,23500
Feb-2014,61266
Mar-2014,17419
Apr-2014,19270
May-2014,21537
Jun-2014,23859
Jul-2014,22563
Aug-2014,21184
Sep-2014,22624
Oct-2014,23542
Nov-2014,20463
Dec-2014,21717
Jan-2015,20818
Feb-2015,20992
Mar-2015,23343
Apr-2015,23111
May-2015,20313
Jun-2015,19442
Jul-2015,20863
Aug-2015,18922
Sep-2015,23462
Oct-2015,22234
Nov-2015,25566
Dec-2015,24766
Jan-2016,21249
Feb-2016,27568
Mar-2016,28123
Apr-2016,27476
May-2016,25624
Jun-2016,28963
Jul-2016,30764
Aug-2016,34698
Sep-2016,31722
Oct-2016,32938
Nov-2016,37821
Dec-2016,38431
Jan-2017,34224
Feb-2017,31664
Mar-2017,30435
Apr-2017,28645
May-2017,34764
Jun-2017,36828
Jul-2017,37724
Aug-2017,32354
Sep-2017,33642
Oct-2017,34542
Nov-2017,39164
Dec-2017,40067
Jan-2018,42128
Feb-2018,41782
Mar-2018,38678
Apr-2018,34434
May-2018,30459
Jun-2018,33738
Jul-2018,32982
Aug-2018,31651
Sep-2018,30553
Oct-2018,29724
Nov-2018,26633
Dec-2018,25144
