date,perc
Jan-2004,12.119
Feb-2004,12.042
Mar-2004,12.344
Apr-2004,12.55
May-2004,13.692
Jun-2004,13.653
Jul-2004,13.741
Aug-2004,13.981
Sep-2004,14.105
Oct-2004,14.006
Nov-2004,14.562
Dec-2004,14.592
Jan-2005,14.528
Feb-2005,14.446
Mar-2005,13.896
Apr-2005,13.964
May-2005,14.688
Jun-2005,14.565
Jul-2005,14.542
Aug-2005,14.698
Sep-2005,14.989
Oct-2005,14.699
Nov-2005,14.208
Dec-2005,14.1
Jan-2006,13.456
Feb-2006,13.665
Mar-2006,13.892
Apr-2006,14.105
May-2006,13.822
Jun-2006,13.692
Jul-2006,13.993
Aug-2006,13.672
Sep-2006,14.323
Oct-2006,14.545
Nov-2006,14.842
Dec-2006,13.649
Jan-2007,13.211
Feb-2007,13.899
Mar-2007,14.252
Apr-2007,14.202
May-2007,13.655
Jun-2007,13.625
Jul-2007,13.781
Aug-2007,13.885
Sep-2007,14.015
Oct-2007,14.315
Nov-2007,14.398
Dec-2007,14.672
Jan-2008,14.321
Feb-2008,13.865
Mar-2008,13.663
Apr-2008,13.543
May-2008,13.892
Jun-2008,13.753
Jul-2008,13.853
Aug-2008,13.853
Sep-2008,13.893
Oct-2008,14.081
Nov-2008,14.195
Dec-2008,14.442
Jan-2009,14.346
Feb-2009,14.691
Mar-2009,14.605
Apr-2009,14.523
May-2009,14.554
Jun-2009,14.771
Jul-2009,14.656
Aug-2009,14.669
Sep-2009,14.739
Oct-2009,14.988
Nov-2009,15.023
Dec-2009,14.856
Jan-2010,14.536
Feb-2010,13.981
Mar-2010,13.883
Apr-2010,13.734
May-2010,14.234
Jun-2010,13.681
Jul-2010,14.561
Aug-2010,14.632
Sep-2010,14.825
Oct-2010,14.019
Nov-2010,14.356
Dec-2010,14.061
Jan-2011,13.563
Feb-2011,13.896
Mar-2011,14.226
Apr-2011,14.545
May-2011,14.764
Jun-2011,14.891
Jul-2011,14.883
Aug-2011,14.991
Sep-2011,15.202
Oct-2011,15.761
Nov-2011,15.891
Dec-2011,15.234
Jan-2012,15.543
Feb-2012,14.868
Mar-2012,15.462
Apr-2012,15.108
May-2012,15.526
Jun-2012,14.969
Jul-2012,15.461
Aug-2012,15.782
Sep-2012,15.554
Oct-2012,15.105
Nov-2012,15.655
Dec-2012,15.828
Jan-2013,15.05
Feb-2013,15.774
Mar-2013,14.942
Apr-2013,15.562
May-2013,15.625
Jun-2013,14.469
Jul-2013,14.692
Aug-2013,15.203
Sep-2013,15.665
Oct-2013,15.104
Nov-2013,15.345
Dec-2013,15.791
Jan-2014,16.021
Feb-2014,15.244
Mar-2014,15.643
Apr-2014,15.632
May-2014,16.321
Jun-2014,16.023
Jul-2014,16.432
Aug-2014,15.723
Sep-2014,15.442
Oct-2014,16.152
Nov-2014,16.565
Dec-2014,16.323
Jan-2015,16.005
Feb-2015,15.554
Mar-2015,15.434
Apr-2015,15.765
May-2015,15.892
Jun-2015,16.003
Jul-2015,16.443
Aug-2015,16.624
Sep-2015,16.829
Oct-2015,16.324
Nov-2015,16.974
Dec-2015,16.542
Jan-2016,16.505
Feb-2016,16.624
Mar-2016,16.824
Apr-2016,16.662
May-2016,16.721
Jun-2016,16.455
Jul-2016,15.821
Aug-2016,15.431
Sep-2016,16.222
Oct-2016,16.75
Nov-2016,16.423
Dec-2016,16.983
Jan-2017,16.721
Feb-2017,16.555
Mar-2017,16.892
Apr-2017,16.976
May-2017,16.623
Jun-2017,16.766
Jul-2017,16.055
Aug-2017,16.654
Sep-2017,17.122
Oct-2017,17.454
Nov-2017,17.765
Dec-2017,16.106
Jan-2018,16.751
Feb-2018,16.921
Mar-2018,16.252
Apr-2018,17.452
May-2018,17.404
Jun-2018,17.451
Jul-2018,16.235
Aug-2018,16.666
Sep-2018,17.51
Oct-2018,17.81
Nov-2018,17.89
Dec-2018,18.31
