date,perc
Jan-2004,37
Feb-2004,35
Mar-2004,40
Apr-2004,41
May-2004,40
Jun-2004,39
Jul-2004,38
Aug-2004,36
Sep-2004,36
Oct-2004,37
Nov-2004,37
Dec-2004,36
Jan-2005,35
Feb-2005,36
Mar-2005,36
Apr-2005,37
May-2005,39
Jun-2005,40
Jul-2005,39
Aug-2005,39
Sep-2005,38
Oct-2005,38
Nov-2005,37
Dec-2005,36
Jan-2006,36
Feb-2006,36
Mar-2006,39
Apr-2006,40
May-2006,42
Jun-2006,40
Jul-2006,38
Aug-2006,38
Sep-2006,38
Oct-2006,39
Nov-2006,38
Dec-2006,39
Jan-2007,39
Feb-2007,38
Mar-2007,39
Apr-2007,39
May-2007,40
Jun-2007,41
Jul-2007,41
Aug-2007,42
Sep-2007,41
Oct-2007,39
Nov-2007,38
Dec-2007,38
Jan-2008,38
Feb-2008,39
Mar-2008,39
Apr-2008,40
May-2008,40
Jun-2008,41
Jul-2008,40
Aug-2008,39
Sep-2008,39
Oct-2008,38
Nov-2008,38
Dec-2008,38
Jan-2009,38
Feb-2009,38
Mar-2009,39
Apr-2009,39
May-2009,39
Jun-2009,39
Jul-2009,39
Aug-2009,38
Sep-2009,39
Oct-2009,39
Nov-2009,37
Dec-2009,38
Jan-2010,38
Feb-2010,38
Mar-2010,39
Apr-2010,39
May-2010,40
Jun-2010,40
Jul-2010,40
Aug-2010,39
Sep-2010,39
Oct-2010,39
Nov-2010,38
Dec-2010,38
Jan-2011,38
Feb-2011,39
Mar-2011,39
Apr-2011,39
May-2011,40
Jun-2011,40
Jul-2011,39
Aug-2011,39
Sep-2011,39
Oct-2011,39
Nov-2011,39
Dec-2011,38
Jan-2012,38
Feb-2012,39
Mar-2012,39
Apr-2012,40
May-2012,41
Jun-2012,39
Jul-2012,39
Aug-2012,38
Sep-2012,39
Oct-2012,38
Nov-2012,39
Dec-2012,38
Jan-2013,38
Feb-2013,39
Mar-2013,39
Apr-2013,39
May-2013,40
Jun-2013,41
Jul-2013,40
Aug-2013,40
Sep-2013,39
Oct-2013,39
Nov-2013,38
Dec-2013,38
Jan-2014,38
Feb-2014,39
Mar-2014,39
Apr-2014,40
May-2014,41
Jun-2014,40
Jul-2014,39
Aug-2014,39
Sep-2014,39
Oct-2014,39
Nov-2014,38
Dec-2014,39
Jan-2015,38
Feb-2015,38
Mar-2015,39
Apr-2015,40
May-2015,41
Jun-2015,39
Jul-2015,39
Aug-2015,39
Sep-2015,38
Oct-2015,38
Nov-2015,38
Dec-2015,38
Jan-2016,38
Feb-2016,38
Mar-2016,40
Apr-2016,40
May-2016,42
Jun-2016,40
Jul-2016,40
Aug-2016,39
Sep-2016,39
Oct-2016,39
Nov-2016,39
Dec-2016,39
Jan-2017,38
Feb-2017,39
Mar-2017,40
Apr-2017,41
May-2017,43
Jun-2017,40
Jul-2017,40
Aug-2017,40
Sep-2017,40
Oct-2017,39
Nov-2017,39
Dec-2017,38
Jan-2018,38
Feb-2018,38
Mar-2018,39
Apr-2018,40
May-2018,42
Jun-2018,40
Jul-2018,39
Aug-2018,39
Sep-2018,39
Oct-2018,39
Nov-2018,38
Dec-2018,38
