,perc
59,26.62
60,26.1
61,25.54
62,25.21
63,25.13
64,25.3
65,25.63
66,26.0
67,26.29
68,26.49
69,26.54
70,26.46
71,26.26
72,25.93
73,25.48
74,24.97
75,24.47
76,24.08
77,23.89
78,23.93
79,24.17
80,24.46
81,24.69
82,24.77
83,24.67
84,24.36
85,23.81
86,23.1
87,22.36
88,21.72
89,21.26
90,21.03
91,20.99
92,21.1
93,21.26
94,21.37
95,21.32
96,21.14
97,20.84
98,20.5
99,20.09
100,19.73
101,19.49
102,19.37
103,19.33
104,19.36
105,19.45
106,19.54
107,19.6
108,19.64
109,19.62
110,19.58
111,19.51
112,19.42
113,19.32
114,19.25
115,19.22
116,19.21
117,19.21
118,19.26
119,19.33
120,19.43
121,19.54
122,19.67
123,19.79
124,19.91
125,20.0
126,20.07
127,20.12
128,20.16
129,20.21
130,20.26
131,20.32
132,20.4
133,20.49
134,20.58
135,20.69
136,20.79
137,20.88
138,20.97
139,21.05
140,21.12
141,21.18
142,21.24
143,21.3
144,21.36
145,21.43
146,21.5
147,21.58
148,21.67
149,21.78
150,21.88
151,21.99
152,22.1
153,22.2
154,22.29
155,22.38
156,22.45
157,22.53
158,22.61
159,22.69
160,22.77
161,22.87
162,22.97
163,23.08
164,23.2
165,23.32
166,23.44
167,23.55
168,23.66
169,23.77
170,23.88
171,23.99
172,24.1
173,24.21
174,24.32
175,24.44
176,24.56
177,24.69
178,24.83
179,24.96
180,25.1
181,25.24
182,25.38
183,25.52
184,25.66
185,25.8
186,25.93
187,26.07
188,26.21
189,26.35
190,26.48
191,26.62
192,26.76
193,26.89
194,27.03
195,27.16
196,27.29
197,27.41
198,27.53
199,27.65
200,27.76
201,27.86
202,27.96
203,28.05
204,28.13
205,28.21
206,28.28
207,28.35
208,28.41
209,28.46
210,28.51
211,28.55
212,28.59
213,28.63
214,28.66
215,28.68
216,28.7
217,28.72
218,28.73
219,28.74
220,28.75
221,28.75
222,28.75
223,28.75
224,28.74
225,28.72
226,28.69
227,28.66
228,28.61
229,28.54
230,28.45
231,28.33
232,28.17
233,27.95
234,27.66
235,27.3
236,26.86
237,26.35
238,25.8
