,perc
59,29495.96
60,30394.68
61,28235.25
62,27061.5
63,26412.19
64,25712.35
65,25011.62
66,24182.24
67,23224.32
68,22368.18
69,21633.16
70,21032.77
71,20720.32
72,20431.23
73,20282.37
74,20710.13
75,26289.78
76,27199.26
77,27756.54
78,28635.04
79,28523.64
80,27970.78
81,26676.04
82,25213.06
83,23603.71
84,23011.12
85,21850.66
86,21144.49
87,20484.38
88,20890.13
89,22675.24
90,28357.86
91,30732.82
92,31540.57
93,29732.03
94,27564.35
95,25727.05
96,24126.33
97,23207.66
98,22190.76
99,21906.32
100,21360.31
101,21217.81
102,20695.57
103,21370.46
104,25600.12
105,36461.49
106,37161.65
107,33931.32
108,29562.26
109,25804.69
110,23348.95
111,22102.39
112,21394.21
113,21016.45
114,20295.39
115,20494.8
116,20052.6
117,20189.0
118,20676.8
119,21341.29
120,22351.97
121,24883.58
122,38275.86
123,34556.09
124,29213.69
125,27299.02
126,25754.15
127,24772.51
128,24050.08
129,23384.29
130,22712.34
131,22061.44
132,21480.12
133,21009.77
134,20681.26
135,20631.4
136,20749.82
137,21433.32
138,26407.68
139,38444.49
140,29699.72
141,27769.03
142,26703.22
143,25879.41
144,25121.51
145,24322.41
146,23477.44
147,22631.24
148,21891.29
149,21363.81
150,21196.58
151,21287.55
152,22555.75
153,27575.57
154,35266.39
155,35737.34
156,30310.37
157,25736.91
158,23307.54
159,22024.19
160,21208.57
161,20668.0
162,20367.54
163,20565.87
164,21150.81
165,21390.23
166,22240.28
167,29297.3
168,40596.04
169,37399.59
170,30974.73
171,26506.39
172,24195.19
173,22933.81
174,22045.73
175,21380.58
176,20830.48
177,20433.31
178,20204.59
179,20146.7
180,20271.6
181,20583.92
182,21247.85
183,23084.65
184,37349.96
185,38801.84
186,29490.58
187,27122.41
188,25595.48
189,24570.6
190,23842.81
191,23216.79
192,22611.37
193,22026.59
194,21497.46
195,21062.27
196,20739.65
197,20542.1
198,20559.96
199,21745.96
200,30110.72
201,41533.39
202,29380.89
203,25972.13
204,25218.21
205,24682.05
206,24201.04
207,23685.74
208,23106.8
209,22493.55
210,21907.68
211,21405.81
212,21058.37
213,20976.0
214,21538.12
215,31612.91
216,39922.78
217,33362.92
218,27613.95
219,24606.39
220,23088.43
221,22145.31
222,21446.04
223,20946.67
224,20687.58
225,20720.93
226,21208.56
227,21503.92
228,21602.84
229,25520.48
230,40498.76
231,37222.62
232,30693.75
233,26824.07
234,24845.58
235,23708.2
236,22868.29
237,22130.13
238,21463.77
