,perc
59,38.83
60,38.73
61,38.62
62,38.48
63,38.35
64,38.24
65,38.11
66,37.97
67,37.82
68,37.66
69,37.49
70,37.31
71,37.13
72,36.95
73,36.77
74,36.61
75,36.46
76,36.35
77,36.28
78,36.23
79,36.19
80,36.16
81,36.14
82,36.13
83,36.14
84,36.15
85,36.16
86,36.18
87,36.21
88,36.23
89,36.26
90,36.3
91,36.34
92,36.38
93,36.42
94,36.45
95,36.47
96,36.53
97,36.57
98,36.61
99,36.67
100,36.71
101,36.76
102,36.82
103,36.88
104,36.94
105,37.01
106,37.08
107,37.16
108,37.25
109,37.35
110,37.46
111,37.59
112,37.72
113,37.87
114,38.03
115,38.2
116,38.38
117,38.56
118,38.77
119,38.94
120,39.11
121,39.3
122,39.48
123,39.67
124,39.87
125,40.06
126,40.25
127,40.43
128,40.58
129,40.71
130,40.8
131,40.87
132,40.91
133,40.92
134,40.92
135,40.9
136,40.87
137,40.84
138,40.81
139,40.77
140,40.74
141,40.7
142,40.67
143,40.64
144,40.61
145,40.58
146,40.55
147,40.52
148,40.5
149,40.47
150,40.44
151,40.42
152,40.39
153,40.36
154,40.33
155,40.29
156,40.26
157,40.22
158,40.18
159,40.14
160,40.09
161,40.04
162,39.99
163,39.93
164,39.87
165,39.8
166,39.73
167,39.66
168,39.58
169,39.49
170,39.4
171,39.3
172,39.2
173,39.1
174,38.98
175,38.86
176,38.74
177,38.61
178,38.47
179,38.33
180,38.19
181,38.04
182,37.88
183,37.73
184,37.56
185,37.4
186,37.24
187,37.09
188,36.93
189,36.79
190,36.65
191,36.52
192,36.4
193,36.29
194,36.19
195,36.11
196,36.05
197,36.0
198,35.97
199,35.96
200,35.95
201,35.95
202,35.96
203,35.98
204,36.0
205,36.02
206,36.06
207,36.09
208,36.13
209,36.17
210,36.21
211,36.26
212,36.31
213,36.36
214,36.41
215,36.47
216,36.53
217,36.58
218,36.65
219,36.71
220,36.78
221,36.85
222,36.92
223,37.0
224,37.09
225,37.19
226,37.3
227,37.42
228,37.55
229,37.7
230,37.85
231,38.02
232,38.18
233,38.34
234,38.5
235,38.67
236,38.84
237,39.01
238,39.19
